package_name,summary,license
Babel,Internationalization utilities,BSD
Baker,"Easy, powerful access to Python functions from the command line",Apache 2.0
Boruta,Python Implementation of Boruta Feature Selection,BSD 3 clause
Bottleneck,Fast NumPy array functions written in C,Simplified BSD
CVXcanon,"A low-level library to perform the matrix building step in cvxpy, a convex optimization modeling software.",GPLv3
CairoSVG,A Simple SVG Converter based on Cairo,LGPLv3+
Cartopy,A cartographic python library with Matplotlib support for visualisation,LGPLv3
Click,Composable command line interface toolkit,BSD
ConfigArgParse,A drop-in replacement for argparse that allows options to also be set via config files and/or environment variables.,MIT
Cython,The Cython compiler for writing C extensions for the Python language.,Apache
Delorean,library for manipulating datetimes with ease and clarity,MIT license
Deprecated,"Python @deprecated decorator to deprecate old python classes, functions or methods.",MIT
Fiona,Fiona reads and writes spatial data files,BSD
Flask,A simple framework for building complex web applications.,BSD-3-Clause
Flask-Cors,A Flask extension adding a decorator for CORS support,MIT
Geohash,Module to decode/encode Geohashes to/from latitude and longitude.,GNU Affero GPL.
ImageHash,Image Hashing library,BSD 2-clause (see LICENSE file)
Janome,Japanese morphological analysis engine.,AL2
Jinja2,A small but fast and easy to use stand-alone template engine written in pure python.,BSD
Keras,Deep Learning for humans,MIT
Keras-Applications,Reference implementations of popular deep learning models,MIT
Keras-Preprocessing,Easy data preprocessing and data augmentation for deep learning models,MIT
Lasagne,A lightweight library to build and train neural networks in Theano,MIT
Mako,A super-fast templating language that borrows the  best ideas from the existing templating languages.,MIT
Markdown,Python implementation of Markdown.,BSD License
MarkupSafe,Safely add untrusted strings to HTML/XML markup.,BSD-3-Clause
PDPbox,python partial dependence plot toolbox,MIT
Pillow,Python Imaging Library (Fork),
PyArabic,Arabic text tools for Python,GPL
PyAstronomy,A collection of astronomy related tools for Python.,
PyBrain,PyBrain is the Swiss army knife for neural networking.,BSD
PyOpenGL,Standard OpenGL bindings for Python,BSD
PyPrind,Python Progress Bar and Percent Indicator Utility,BSD 3-Clause
PySocks,A Python SOCKS client module. See https://github.com/Anorov/PySocks for more information.,BSD
PyUpSet,Python implementation of the UpSet visualisation suite by Lex et al.,MIT
PyWavelets,"PyWavelets, wavelet transform module",MIT
PyYAML,YAML parser and emitter for Python,MIT
Pygments,Pygments is a syntax highlighting package written in Python.,BSD License
Pympler,"A development tool to measure, monitor and analyze the memory behavior of Python objects.","Apache License, Version 2.0"
Pyphen,Pure Python module to hyphenate text,
QtAwesome,FontAwesome icons in PyQt and PySide applications,MIT
QtPy,"Provides an abstraction layer on top of the various Qt bindings (PyQt5, PyQt4 and PySide) and additional custom QWidgets.",MIT
Rtree,R-Tree spatial index for Python GIS,LGPL
SQLAlchemy,Database Abstraction Library,MIT
SecretStorage,Python bindings to FreeDesktop.org Secret Service API,BSD 3-Clause License
Send2Trash,"Send file to trash natively under Mac OS X, Windows and Linux.",BSD License
Shapely,"Geometric objects, predicates, and operations",BSD
SimpleITK,SimpleITK is a simplified interface to the Insight Toolkit (ITK) for image registration and segmentation,Apache
SoundFile,"An audio library based on libsndfile, CFFI and NumPy",BSD 3-Clause License
Sphinx,Python documentation generator,BSD
TPOT,Tree-based Pipeline Optimization Tool,GNU/LGPLv3
Theano,Optimizing compiler for evaluating mathematical expressions on CPUs and GPUs.,BSD
Unidecode,ASCII transliterations of Unicode text,GPL
