name,version,install_command,release_date,release_year,old_version,old_release_date,old_release_year,url
Babel,2.12.1,pip install Babel,2023-02-28,2023,0.8,2007-06-20,2007,https://pypi.org/project/Babel/
GDAL,3.7.1.1,pip install GDAL,2023-07-14,2023,1.5.0,2007-12-27,2007,https://pypi.org/project/GDAL/
MarkupSafe,2.1.3,pip install MarkupSafe,2023-06-02,2023,0.9,2010-06-22,2010,https://pypi.org/project/MarkupSafe/
Cython,3.0.0,pip install Cython,2023-07-17,2023,0.9.6,2007-07-29,2007,https://pypi.org/project/Cython/
Jinja2,3.1.2,pip install Jinja2,2022-04-28,2022,2.0rc1,2008-06-09,2008,https://pypi.org/project/Jinja2/
Fiona,1.9.4.post1,pip install Fiona,2023-05-23,2023,0.5,2011-12-20,2011,https://pypi.org/project/Fiona/
LunarCalendar,0.0.9,pip install LunarCalendar,2018-06-13,2018,0.0.7,2018-05-28,2018,https://pypi.org/project/LunarCalendar/
Flask,2.3.2,pip install Flask,2023-05-01,2023,0.1,2010-04-16,2010,https://pypi.org/project/Flask/
Markdown,3.4.4,pip install Markdown,2023-07-25,2023,1.7,2008-02-18,2008,https://pypi.org/project/Markdown/
Pillow,10.0.0,pip install Pillow,2023-07-01,2023,1.0,2010-07-31,2010,https://pypi.org/project/Pillow/
PyDrive,1.3.1,pip install PyDrive,2016-10-24,2016,1.0.0,2013-08-16,2013,https://pypi.org/project/PyDrive/
PyDrive2,1.17.0,pip install PyDrive2,2023-08-15,2023,0.14.0,2022-07-22,2022,https://pypi.org/project/PyDrive2/
PyGObject,3.44.1,pip install PyGObject,2023-03-24,2023,2.10.1,2006-04-11,2006,https://pypi.org/project/PyGObject/
PyWavelets,1.4.1,pip install PyWavelets,2022-09-16,2022,0.1.0,2006-03-22,2006,https://pypi.org/project/PyWavelets/
PyMeeus,0.5.12,pip install PyMeeus,2022-12-11,2022,0.0.2,2018-06-29,2018,https://pypi.org/project/PyMeeus/
PyJWT,2.8.0,pip install PyJWT,2023-07-18,2023,0.1.1,2011-02-24,2011,https://pypi.org/project/PyJWT/
PyOpenGL,3.1.7,pip install PyOpenGL,2023-05-23,2023,2.0.1.09,2004-10-20,2004,https://pypi.org/project/PyOpenGL/
PySocks,1.7.1,pip install PySocks,2019-09-20,2019,1.4.2,2013-12-17,2013,https://pypi.org/project/PySocks/
PyYAML,6.0.1,pip install PyYAML,2023-07-17,2023,3.01,2006-05-07,2006,https://pypi.org/project/PyYAML/
Pygments,2.16.1,pip install Pygments,2023-08-06,2023,0.5,2006-10-30,2006,https://pypi.org/project/Pygments/
SecretStorage,3.3.3,pip install SecretStorage,2022-08-13,2022,1.0.0,2013-05-08,2013,https://pypi.org/project/SecretStorage/
SQLAlchemy,2.0.20,pip install SQLAlchemy,2023-08-15,2023,0.1.0,2006-02-14,2006,https://pypi.org/project/SQLAlchemy/
Send2Trash,1.8.2,pip install Send2Trash,2023-04-27,2023,1.0.0,2010-04-08,2010,https://pypi.org/project/Send2Trash/
Sphinx,7.2.2,pip install Sphinx,2023-08-17,2023,0.1.61611,2008-03-21,2008,https://pypi.org/project/Sphinx/
absl-py,1.4.0,pip install absl-py,2023-01-11,2023,0.0,2017-09-13,2017,https://pypi.org/project/absl-py/
aiohttp,3.8.5,pip install aiohttp,2023-07-19,2023,0.1,2013-10-25,2013,https://pypi.org/project/aiohttp/
