package_name,summary,license
_ipyw_jlab_nb_ext_conf,A configuration metapackage for enabling Anaconda-bundled jupyter extensions,BSD
_libgcc_mutex,Mutex for libgcc and libgcc-ng,None
_openmp_mutex,OpenMP Implementation Mutex,BSD-3-Clause
abseil-cpp,Abseil Common Libraries (C++),Apache-2.0
affine,Matrices describing affine transformation of the plane.,BSD-3-Clause
agate,A data analysis library that is optimized for humans instead of machines.,MIT
agate-dbf,agate-dbf adds read support for dbf files to agate.,MIT
agate-excel,agate-excel adds read support for Excel files (xls and xlsx) to agate.,MIT
aiobotocore,Async client for aws services using botocore and aiohttp,Apache-2.0
aiofiles,File support for asyncio,Apache-2.0
aiohttp,Async http client/server framework (asyncio),Apache-2.0
aioitertools,asyncio version of the standard multiprocessing module,MIT
aiosignal,aiosignal: a list of registered asynchronous callbacks,Apache-2.0
aiosqlite,asyncio bridge to the standard sqlite3 module,MIT
alabaster,"Configurable, Python 2+3 compatible Sphinx theme.",BSD 3-Clause
alembic,A database migration tool for SQLAlchemy.,MIT
anaconda-clean,Delete Anaconda configuration files,BSD-3-Clause
anaconda-navigator,Anaconda Navigator,"proprietary - Continuum Analytics, Inc."
anaconda-project,"Tool for encapsulating, running, and reproducing data science projects",BSD-3-Clause
ansi2html,Convert text with ANSI color codes to HTML or to LaTeX.,LGPL-3.0-or-later
ant,Java build tool,Apache 2.0
anyio,High level compatibility layer for multiple asynchronous event loop implementations on Python,MIT
anyqt,PyQt4/PyQt5 compatibility layer.,GPL-3.0-or-later
appdirs,A small Python module for determining appropriate platform-specific dirs.,MIT
apptools,application tools,BSD 3-clause
argcomplete,Bash tab completion for argparse,Apache-2.0
argon2-cffi,The secure Argon2 password hashing algorithm.,MIT
argon2-cffi-bindings,Low-level Python CFFI Bindings for Argon2,MIT
arrow,Better dates & times for Python,Apache-2.0
arrow-cpp,C++ libraries for Apache Arrow,Apache-2.0
astroid,A abstract syntax tree for Python with inference support.,LGPL-2.1-or-later
astropy,Community-developed Python Library for Astronomy,BSD-3-Clause
asttokens,The asttokens module annotates Python abstract syntax trees (ASTs) with the positions of tokens and text in the source code that generated them.,Apache-2.0
async-timeout,Timeout context manager for asyncio programs,Apache-2.0
asyncpg,A fast PostgreSQL Database Client Library for Python/asyncio.,Apache-2.0
asyncpgsa,A fast PostgreSQL Database Client Library for Python/asyncio.,Apache 2.0
atomicwrites,Atomic file writes,MIT
attrs,attrs is the Python package that will bring back the joy of writing classes by relieving you from the drudgery of implementing object protocols (aka dunder methods).,MIT
automake,Tool for automatically generating Makefile.in files compliant with the GNU Coding Standards.,GPL-2.0-or-later
automat,self-service finite-state machines for the programmer on the go,MIT
autopep8,A tool that automatically formats Python code to conform to the PEP 8 style guide,MIT
autovizwidget,AutoVizWidget: An Auto-Visualization library for pandas dataframes,BSD-3-Clause
aws-c-common,"Core c99 package for AWS SDK for C. Includes cross-platform primitives, configuration, data structures, and error handling.",Apache-2.0
aws-c-event-stream,C99 implementation of the vnd.amazon.eventstream content-type.,Apache-2.0
aws-checksums,Cross-Platform HW accelerated CRC32c and CRC32 with fallback to efficient SW implementations. C interface with language bindings for each of our SDKs.,Apache-2.0
aws-sdk-cpp,C++ library that makes it easy to integrate C++ applications with AWS services,Apache-2.0
babel,Utilities to internationalize and localize Python applications,BSD-3-Clause
backcall,Specifications for callback functions passed in to an API,BSD-3-Clause
backports.os,Backport of new features in Python's os module,Python Software Foundation
backports.weakref,Backport of new features in Python's weakref module,Python-2.0
bandersnatch,PyPI mirror client according to PEP 381,Academic Free License
basemap,Plot on map projections using matplotlib,MIT
bcrypt,Modern password hashing for your software and your servers,Apache-2.0
beautifulsoup4,Python library designed for screen-scraping,MIT
binaryornot,Ultra-lightweight pure Python package to check if a file is binary or text.,BSD-3-Clause
biopython,Collection of freely available tools for computational molecular biology,Biopython License Agreement
bkcharts,High level chart types built on top of Bokeh,BSD-3-Clause
black,The Uncompromising Code Formatter,MIT
blas,Linear Algebra PACKage,BSD-3-Clause
bleach,"Easy, whitelist-based HTML-sanitizing tool",Apache-2.0
blosc,"A blocking, shuffling and loss-less compression library that can be faster than `memcpy()`",BSD-3-Clause
bokeh,Bokeh is an interactive visualization library for modern web browsers.,BSD-3-Clause
boost,Free peer-reviewed portable C++ source libraries.,BSL-1.0
boost-cpp,Free peer-reviewed portable C++ source libraries.,BSL-1.0
boto3,Amazon Web Services SDK for Python,Apache-2.0
botocore,"Low-level, data-driven core of boto 3.",Apache-2.0
bottlechest,fast NumPy array functions specialized for use in Orange,BSD
bottleneck,Fast NumPy array functions written in Cython.,BSD-2-Clause
brotli,Brotli compression format,MIT
brotli-bin,Brotli compression format,MIT
brotlipy,Python bindings to the Brotli compression library,MIT
brunsli,Practical JPEG Repacker,MIT
bsdiff4,binary diff and patch using the BSDIFF4-format,BSD
btrees,scalable persistent object containers,ZPL 2.1
bz2file,Read and write bzip2-compressed files.,Apache Software
bzip2,high-quality data compressor,bzip2
c-ares,"This is c-ares, an asynchronous resolver library",MIT
c-blosc2,"A simple, compressed, fast and persistent data store library for C",BSD-3-Clause
ca-certificates,Certificates for use with other packages.,MPL-2.0
cachecontrol,httplib2 caching algorithms for use with requests,Apache-2.0
cached-property,A decorator for caching properties in classes.,BSD-3-Clause
capturer,Easily capture stdout/stderr of the current process and subprocesses.,MIT
cartopy,A library providing cartographic tools for python,LGPL-3.0-or-later
certifi,Python package for providing Mozilla's CA Bundle.,MPL-2.0
cffi,Foreign Function Interface for Python calling C code.,MIT
cfitsio,A library for reading and writing FITS files,Other
chainer,A flexible framework of neural networks,MIT License
chameleon,HTML/XML template engine for Python,Repoze
chardet,Universal character encoding detector,LGPL2
charls,CharLS is a C++ implementation of the JPEG-LS standard for lossless and near-lossless image compression and decompression. JPEG-LS is a low-complexity image compression standard that matches JPEG 2000 compression ratios.,BSD-3-Clause
charset-normalizer,"The Real First Universal Charset Detector. Open, modern and actively maintained alternative to Chardet.",MIT
cherrypy,Object-Oriented HTTP framework,BSD-3-Clause
chest,Simple on-disk dictionary,BSD 3-Clause
click,Python composable command line interface toolkit,BSD-3-Clause
click-plugins,An extension module for click to enable registering CLI commands via setuptools entry-points,BSD-3-Clause
cligj,Click params for command line interfaces to GeoJSON.,BSD 3-Clause
cloudpickle,Extended pickling support for Python objects,BSD-3-Clause
cmake,"CMake is an extensible, open-source system that manages the build process",BSD-3-Clause
colander,"A serialization, deserialization, and validation library",BSD-like
colorama,Cross-platform colored terminal text,BSD-3-Clause
colorcet,Collection of perceptually uniform colormaps,CC-BY-4.0
comm,Python Comm implementation for the Jupyter kernel protocol,BSD-3-Clause
conda,"OS-agnostic, system-level binary package and environment manager.",BSD-3-Clause
conda-build,tools for building conda packages,BSD-3-Clause
conda-env,Tools for interacting with conda environments.,BSD 3-Clause
conda-verify,tool for validating conda recipes and conda packages,BSD 3-Clause
configargparse,A drop-in replacement for argparse that allows options to also be set via config files and/or environment variables.,MIT
configobj,"Config file reading, writing and validation.",BSD License
console_shortcut,Anaconda Powershell Prompt,BSD
constantly,Symbolic constants in Python,MIT
constructor,create installer from conda packages,BSD-3-Clause
contextlib2,Backports and enhancements for the contextlib module,PSF-2.0 AND Apache-2.0
contourpy,Python library for calculating contours of 2D quadrilateral grids.,BSD-3-Clause
cookiecutter,"A command-line utility that creates projects from cookiecutters (project templates), e.g. creating a Python package project from a Python package project template.",BSD-3-Clause
cornice,build and document Web Services with Pyramid,MPL 2.0
coverage,Code coverage measurement for Python,Apache-2.0
cryptography,Provides cryptographic recipes and primitives to Python developers,(BSD-3-Clause OR Apache-2.0) AND PSF-2.0 AND MIT
cssselect,CSS Selectors for Python,BSD 3-Clause
csvkit,"A suite of command-line tools for working with CSV, the king of tabular file formats.",MIT
cubes,A light-weight Python OLAP framework for data warehouses,MIT
cudatoolkit,CUDA Toolkit - Including CUDA runtime and headers,NVIDIA End User License Agreement
cudnn,NVIDIA's cuDNN deep neural network acceleration library,Proprietary
curl,tool and library for transferring data with URL syntax,curl
cvxcanon,Low-level library to perform the matrix building step in CVXPY,GPL3
cvxopt,Convex optimization package,GPL-3.0-or-later
cycler,Composable style cycles.,BSD-3-Clause
cytoolz,Cython implementation of Toolz. High performance functional utilities,BSD-3-Clause
daal4py,A convenient Python API to Intel (R) oneAPI Data Analytics Library,Apache-2.0
dal,Intel® oneDAL runtime libraries,Intel Simplified Software License
dask,Parallel PyData with Task Scheduling,BSD-3-Clause
dask-core,Parallel Python with task scheduling,BSD-3-Clause
dask-glm,Generalized Linear Models in Dask,BSD-3-Clause
dask-ml,Distributed and parallel machine learning using dask.,BSD-3-Clause
dask-searchcv,Tools for doing hyperparameter search with Scikit-Learn and Dask,BSD-3-Clause
datasets,HuggingFace community-driven open-source library of datasets,Apache-2.0
datashader,Data visualization toolchain based on aggregating into a grid,BSD-3-Clause
datashape,A data description language.,BSD 2-Clause
datrie,"Super-fast, efficiently stored Trie for Python, uses libdatrie",LGPLv2
db,The Berkeley DB embedded database system.,AGPL-3.0-only
dbf,"Pure python package for reading/writing dBase, FoxPro, and Visual FoxPro .dbf files (including memos)",BSD-3-Clause
dbus,Simple message bus system for applications to talk to one another,GPL2
debugpy,An implementation of the Debug Adapter Protocol for Python,MIT
decorator,Better living through Python with decorators.,BSD-2-Clause
defusedxml,XML bomb protection for Python stdlib modules,PSF 2.0
diff-match-patch,Diff Match Patch is a high-performance library in multiple languages that manipulates plain text,Apache-2.0
dill,Serialize all of python (almost),BSD-3-Clause
distlib,Distribution utilities for python,Python-2.0
distributed,Distributed computing with Dask,BSD-3-Clause
django,"A high-level Python Web framework that encourages rapid development and clean, pragmatic design.",BSD-3-Clause AND PSF-2.0
dnspython,DNS toolkit,ISC
docopt,"Pythonic argument parser, that will make you smile",MIT
docstring-to-markdown,On the fly conversion of Python docstrings to markdown,LGPL-2.1-or-later
docutils,Docutils -- Python Documentation Utilities,LicenseRef-Public-Domain-Dedictation and BSD-2-Clause and LicenseRef-PSF-2.1.1 and GPL-3.0-or-later
dropbox,Official Dropbox API Client,MIT
ecdsa,ECDSA cryptographic signature library (pure python),MIT
ecos,Python interface for ECOS a lightweight conic solver for second-order cone programming,GPL-3.0-only
elasticsearch,Python client for Elasticsearch,Apache-2.0
elasticsearch-async,Async backend for elasticsearch-py,Apache 2.0
elasticsearch-dsl,Higher-level Python client for Elasticsearch,Apache-2.0
enaml,Declarative DSL for building rich user interfaces in Python,BSD-3-Clause
entrypoints,Discover and load entry points from installed packages.,MIT License
envisage,extensible application framework,BSD-3-clause
ephem,Basic astronomical computations for Python,MIT
et_xmlfile,An implementation of lxml.xmlfile for the standard library,MIT AND PSF-2.0
executing,"Get the currently executing AST node of a frame, and other information",MIT
expat,Expat XML parser library in C,MIT
fastparquet,Python interface to the parquet format,Apache-2.0
feedparser,parse feeds in Python,OSI Approved
filelock,A platform independent file lock.,Unlicense
fiona,Fiona reads and writes spatial data files,BSD-3-Clause
flake8,Your Tool For Style Guide Enforcement,MIT
flask,A simple framework for building complex web applications.,BSD-3-Clause
flask-cors,A Flask extension adding a decorator for CORS support,MIT
flask-login,User session management for Flask,MIT
flask-socketio,Socket.IO integration for Flask applications,MIT
